week_start,week_no,year,week
2005-01-03,1,2005,2005-01
2005-01-10,2,2005,2005-02
2005-01-17,3,2005,2005-03
2005-01-24,4,2005,2005-04
2005-01-31,5,2005,2005-05
2005-02-07,6,2005,2005-06
2005-02-14,7,2005,2005-07
2005-02-21,8,2005,2005-08
2005-02-28,9,2005,2005-09
2005-03-07,10,2005,2005-10
2005-03-14,11,2005,2005-11
2005-03-21,12,2005,2005-12
2005-03-28,13,2005,2005-13
2005-04-04,14,2005,2005-14
2005-04-11,15,2005,2005-15
2005-04-18,16,2005,2005-16
2005-04-25,17,2005,2005-17
2005-05-02,18,2005,2005-18
2005-05-09,19,2005,2005-19
2005-05-16,20,2005,2005-20
2005-05-23,21,2005,2005-21
2005-05-30,22,2005,2005-22
2005-06-06,23,2005,2005-23
2005-06-13,24,2005,2005-24
2005-06-20,25,2005,2005-25
2005-06-27,26,2005,2005-26
2005-07-04,27,2005,2005-27
2005-07-11,28,2005,2005-28
2005-07-18,29,2005,2005-29
2005-07-25,30,2005,2005-30
2005-08-01,31,2005,2005-31
2005-08-08,32,2005,2005-32
2005-08-15,33,2005,2005-33
2005-08-22,34,2005,2005-34
2005-08-29,35,2005,2005-35
2005-09-05,36,2005,2005-36
2005-09-12,37,2005,2005-37
2005-09-19,38,2005,2005-38
2005-09-26,39,2005,2005-39
2005-10-03,40,2005,2005-40
2005-10-10,41,2005,2005-41
2005-10-17,42,2005,2005-42
2005-10-24,43,2005,2005-43
2005-10-31,44,2005,2005-44
2005-11-07,45,2005,2005-45
2005-11-14,46,2005,2005-46
2005-11-21,47,2005,2005-47
2005-11-28,48,2005,2005-48
2005-12-05,49,2005,2005-49
2005-12-12,50,2005,2005-50
2005-12-19,51,2005,2005-51
2005-12-26,52,2005,2005-52
2006-01-02,1,2006,2006-01
2006-01-09,2,2006,2006-02
2006-01-16,3,2006,2006-03
2006-01-23,4,2006,2006-04
2006-01-30,5,2006,2006-05
2006-02-06,6,2006,2006-06
2006-02-13,7,2006,2006-07
2006-02-20,8,2006,2006-08
2006-02-27,9,2006,2006-09
2006-03-06,10,2006,2006-10
2006-03-13,11,2006,2006-11
2006-03-20,12,2006,2006-12
2006-03-27,13,2006,2006-13
2006-04-03,14,2006,2006-14
2006-04-10,15,2006,2006-15
2006-04-17,16,2006,2006-16
2006-04-24,17,2006,2006-17
2006-05-01,18,2006,2006-18
2006-05-08,19,2006,2006-19
2006-05-15,20,2006,2006-20
2006-05-22,21,2006,2006-21
2006-05-29,22,2006,2006-22
2006-06-05,23,2006,2006-23
2006-06-12,24,2006,2006-24
2006-06-19,25,2006,2006-25
2006-06-26,26,2006,2006-26
2006-07-03,27,2006,2006-27
2006-07-10,28,2006,2006-28
2006-07-17,29,2006,2006-29
2006-07-24,30,2006,2006-30
2006-07-31,31,2006,2006-31
2006-08-07,32,2006,2006-32
2006-08-14,33,2006,2006-33
2006-08-21,34,2006,2006-34
2006-08-28,35,2006,2006-35
2006-09-04,36,2006,2006-36
2006-09-11,37,2006,2006-37
2006-09-18,38,2006,2006-38
2006-09-25,39,2006,2006-39
2006-10-02,40,2006,2006-40
2006-10-09,41,2006,2006-41
2006-10-16,42,2006,2006-42
2006-10-23,43,2006,2006-43
2006-10-30,44,2006,2006-44
2006-11-06,45,2006,2006-45
2006-11-13,46,2006,2006-46
2006-11-20,47,2006,2006-47
2006-11-27,48,2006,2006-48
2006-12-04,49,2006,2006-49
2006-12-11,50,2006,2006-50
2006-12-18,51,2006,2006-51
2006-12-25,52,2006,2006-52
2007-01-01,1,2007,2007-01
2007-01-08,2,2007,2007-02
2007-01-15,3,2007,2007-03
2007-01-22,4,2007,2007-04
2007-01-29,5,2007,2007-05
2007-02-05,6,2007,2007-06
2007-02-12,7,2007,2007-07
2007-02-19,8,2007,2007-08
2007-02-26,9,2007,2007-09
2007-03-05,10,2007,2007-10
2007-03-12,11,2007,2007-11
2007-03-19,12,2007,2007-12
2007-03-26,13,2007,2007-13
2007-04-02,14,2007,2007-14
2007-04-09,15,2007,2007-15
2007-04-16,16,2007,2007-16
2007-04-23,17,2007,2007-17
2007-04-30,18,2007,2007-18
2007-05-07,19,2007,2007-19
2007-05-14,20,2007,2007-20
2007-05-21,21,2007,2007-21
2007-05-28,22,2007,2007-22
2007-06-04,23,2007,2007-23
2007-06-11,24,2007,2007-24
2007-06-18,25,2007,2007-25
2007-06-25,26,2007,2007-26
2007-07-02,27,2007,2007-27
2007-07-09,28,2007,2007-28
2007-07-16,29,2007,2007-29
2007-07-23,30,2007,2007-30
2007-07-30,31,2007,2007-31
2007-08-06,32,2007,2007-32
2007-08-13,33,2007,2007-33
2007-08-20,34,2007,2007-34
2007-08-27,35,2007,2007-35
2007-09-03,36,2007,2007-36
2007-09-10,37,2007,2007-37
2007-09-17,38,2007,2007-38
2007-09-24,39,2007,2007-39
2007-10-01,40,2007,2007-40
2007-10-08,41,2007,2007-41
2007-10-15,42,2007,2007-42
2007-10-22,43,2007,2007-43
2007-10-29,44,2007,2007-44
2007-11-05,45,2007,2007-45
2007-11-12,46,2007,2007-46
2007-11-19,47,2007,2007-47
2007-11-26,48,2007,2007-48
2007-12-03,49,2007,2007-49
2007-12-10,50,2007,2007-50
2007-12-17,51,2007,2007-51
2007-12-24,52,2007,2007-52
2007-12-31,1,2007,2007-01
2008-01-07,2,2008,2008-02
2008-01-14,3,2008,2008-03
2008-01-21,4,2008,2008-04
2008-01-28,5,2008,2008-05
2008-02-04,6,2008,2008-06
2008-02-11,7,2008,2008-07
2008-02-18,8,2008,2008-08
2008-02-25,9,2008,2008-09
2008-03-03,10,2008,2008-10
2008-03-10,11,2008,2008-11
2008-03-17,12,2008,2008-12
2008-03-24,13,2008,2008-13
2008-03-31,14,2008,2008-14
2008-04-07,15,2008,2008-15
2008-04-14,16,2008,2008-16
2008-04-21,17,2008,2008-17
2008-04-28,18,2008,2008-18
2008-05-05,19,2008,2008-19
